epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
85,935.819,0.8663,2.1322,1.11096,1.19547,0,0.83196,0.50247,0.75843,0.57663,0.79632,0.4708,0.71818,0.52795,1.30452,2.80062,1.25114,1.74611,0,0.00083368,0.00083368,0.00083368
86,946.712,0.85311,2.06434,1.10382,1.18078,0,0.76952,0.56243,0.66765,0.50087,0.72554,0.54628,0.63201,0.46743,1.22357,2.92706,1.4105,1.68465,0,0.0008317,0.0008317,0.0008317
87,957.647,0.85132,2.08768,1.08941,1.18206,0,0.67474,0.7125,0.75063,0.52323,0.61991,0.68125,0.69624,0.53474,1.24242,2.58807,1.32686,1.73954,0,0.00082972,0.00082972,0.00082972
88,968.544,0.84133,2.09845,1.08817,1.17581,0,0.79525,0.49973,0.69742,0.51731,0.74893,0.47361,0.65556,0.5003,1.11758,2.64088,1.3794,1.6668,0,0.00082774,0.00082774,0.00082774
89,979.431,0.84363,2.05984,1.09027,1.17429,0,0.68099,0.6982,0.76087,0.56318,0.64578,0.68034,0.72107,0.54608,1.2187,2.74472,1.40683,1.68913,0,0.00082576,0.00082576,0.00082576
90,990.292,0.8262,2.03612,1.06321,1.17176,0,0.78924,0.70923,0.78391,0.60387,0.74621,0.69116,0.72539,0.54419,1.25202,2.52191,1.28621,1.70846,0,0.00082378,0.00082378,0.00082378
91,1001.33,0.86736,2.08213,1.07154,1.18571,0,0.80587,0.65153,0.77818,0.59521,0.76907,0.6426,0.72445,0.5528,1.2277,2.75114,1.2245,1.69662,0,0.0008218,0.0008218,0.0008218
92,1012.33,0.87496,2.15793,1.09476,1.19809,0,0.80916,0.64236,0.72928,0.58773,0.75798,0.6129,0.69079,0.54888,1.34119,2.54284,1.41287,1.77913,0,0.00081982,0.00081982,0.00081982
93,1023.33,0.8311,2.02494,1.05586,1.16118,0,0.64182,0.71174,0.72455,0.5504,0.59989,0.68496,0.68103,0.53463,1.19,2.63511,1.2077,1.71076,0,0.00081784,0.00081784,0.00081784
94,1034.24,0.82565,1.99236,1.00912,1.14697,0,0.74027,0.5719,0.74268,0.54007,0.69271,0.55452,0.68893,0.53571,1.17161,2.48059,1.29487,1.62653,0,0.00081586,0.00081586,0.00081586
95,1045.22,0.85611,2.11805,1.07763,1.18459,0,0.84046,0.64547,0.76704,0.58409,0.78821,0.62263,0.71227,0.52643,1.21503,2.89228,1.30376,1.70858,0,0.00081388,0.00081388,0.00081388
96,1056.2,0.84513,2.09537,1.07226,1.17428,0,0.70147,0.725,0.76811,0.55349,0.67198,0.70714,0.73553,0.49435,1.23087,2.97526,1.30888,1.666,0,0.0008119,0.0008119,0.0008119
97,1067.05,0.84496,2.0525,1.06901,1.17834,0,0.62241,0.75666,0.76635,0.5179,0.58883,0.72988,0.72775,0.4586,1.14566,2.82314,1.18402,1.6215,0,0.00080992,0.00080992,0.00080992
98,1077.96,0.81059,1.98285,1.00819,1.15319,0,0.77029,0.71723,0.77294,0.51189,0.71462,0.68744,0.71772,0.50129,1.1415,2.6243,1.18072,1.56309,0,0.00080794,0.00080794,0.00080794
99,1088.94,0.86857,2.09893,1.08649,1.19097,0,0.8063,0.70103,0.78176,0.57636,0.74303,0.67714,0.73195,0.54451,1.16867,2.66724,1.25097,1.65935,0,0.00080596,0.00080596,0.00080596
100,1099.97,0.83239,2.02368,1.03819,1.16139,0,0.75924,0.6954,0.77608,0.6026,0.73061,0.68201,0.72266,0.5581,1.08276,2.48161,1.08865,1.52004,0,0.00080398,0.00080398,0.00080398
101,1110.94,0.81574,1.99402,0.9832,1.15133,0,0.60155,0.73624,0.77374,0.61206,0.55016,0.69817,0.71949,0.55022,1.17833,2.61585,1.32673,1.64105,0,0.000802,0.000802,0.000802
102,1121.88,0.82614,2.02403,1.03854,1.16368,0,0.7028,0.70273,0.76456,0.57126,0.71364,0.71165,0.75017,0.5611,1.16913,2.5373,1.24838,1.63424,0,0.00080002,0.00080002,0.00080002
103,1132.79,0.81721,2.03291,0.99499,1.15063,0,0.74678,0.55428,0.7335,0.51204,0.78784,0.51007,0.70135,0.52555,1.16258,2.58107,1.30948,1.61955,0,0.00079804,0.00079804,0.00079804
104,1143.74,0.80387,1.91125,1.00838,1.15172,0,0.75338,0.71339,0.75388,0.59194,0.76129,0.64349,0.69836,0.54607,1.1221,2.76348,1.29718,1.63329,0,0.00079606,0.00079606,0.00079606
105,1154.74,0.85302,2.11349,1.05322,1.18373,0,0.92048,0.61433,0.76555,0.59983,0.84897,0.59009,0.71178,0.57053,1.12408,2.76445,1.2377,1.58176,0,0.00079408,0.00079408,0.00079408
106,1165.7,0.81375,2.05029,1.03528,1.16498,0,0.5058,0.79911,0.77011,0.57837,0.47793,0.76339,0.72606,0.57603,1.14144,2.92361,1.11444,1.6932,0,0.0007921,0.0007921,0.0007921
107,1176.8,0.82078,2.00704,0.99701,1.15934,0,0.76719,0.76038,0.78096,0.58897,0.67688,0.69788,0.7066,0.55659,1.09779,2.86432,1.18405,1.62871,0,0.00079012,0.00079012,0.00079012
108,1187.72,0.79879,2.01971,1.02146,1.1553,0,0.78995,0.70507,0.78851,0.56708,0.76087,0.62712,0.71845,0.55599,1.15595,2.75676,1.25554,1.64458,0,0.00078814,0.00078814,0.00078814
109,1198.62,0.79507,1.95418,0.99908,1.14789,0,0.84715,0.67852,0.7996,0.6014,0.80941,0.6642,0.75338,0.5781,1.12049,2.62147,1.15856,1.57153,0,0.00078616,0.00078616,0.00078616
110,1209.7,0.79503,1.97712,0.97721,1.13453,0,0.62845,0.72886,0.74695,0.55571,0.59459,0.69315,0.69509,0.5225,1.16936,2.65432,1.35957,1.69367,0,0.00078418,0.00078418,0.00078418
111,1220.6,0.81091,2.01022,0.99362,1.14569,0,0.58635,0.75625,0.7678,0.57841,0.57436,0.74732,0.72784,0.56647,1.09519,2.732,1.1255,1.56043,0,0.0007822,0.0007822,0.0007822
112,1231.49,0.81691,2.01621,0.98668,1.14833,0,0.51004,0.81835,0.75467,0.57031,0.47299,0.76925,0.70797,0.53166,1.18315,2.86743,1.31697,1.6735,0,0.00078022,0.00078022,0.00078022
113,1242.34,0.76704,1.89869,0.91013,1.11683,0,0.72904,0.77589,0.7986,0.63261,0.68239,0.73698,0.73524,0.58036,1.06647,2.56355,1.38625,1.56984,0,0.00077824,0.00077824,0.00077824
114,1253.41,0.81277,1.98673,1.00966,1.15853,0,0.81945,0.62113,0.7522,0.5708,0.81972,0.59312,0.70756,0.54713,1.26942,2.95541,1.39548,1.86828,0,0.00077626,0.00077626,0.00077626
115,1264.4,0.76032,1.88513,0.91752,1.11681,0,0.73468,0.70804,0.73272,0.59194,0.7065,0.67232,0.69583,0.56119,1.1657,3.01846,1.33388,1.64589,0,0.00077428,0.00077428,0.00077428
116,1275.33,0.7999,2.02729,0.98026,1.1484,0,0.89772,0.66941,0.77889,0.58994,0.90207,0.66361,0.74543,0.59442,1.13023,2.4753,1.2231,1.68197,0,0.0007723,0.0007723,0.0007723
117,1286.22,0.81622,2.00838,1.00371,1.15481,0,0.77393,0.71237,0.76517,0.60543,0.83896,0.64045,0.72353,0.56,1.06223,2.85708,1.22536,1.55688,0,0.00077032,0.00077032,0.00077032
118,1297.12,0.82556,2.077,1.00518,1.17249,0,0.8298,0.69438,0.77348,0.62728,0.75921,0.68125,0.7232,0.56044,1.11825,2.67191,1.25392,1.59861,0,0.00076834,0.00076834,0.00076834
